Species_Name,Avg_Body_Mass_g,Avg_Wingspan_cm,Wind_Load
Ammodramus nelsoni,19.00,18.25,1.04
Ammodramus henslowii,12.50,18.00,0.69
Ammodramus leconteii,14.00,18.00,0.78
Passerculus sandwichensis,22.00,21.50,1.02
Ammodramus savannarum,17.00,17.50,0.97
Catharus fuscescens,32.50,28.50,1.14
Catharus guttatus,27.50,27.50,1.00
Catharus minimus,28.00,33.00,0.85
Catharus ustulatus,34.00,30.00,1.13
Certhia americana,7.10,18.50,0.38
Cistothorus palustris,11.35,15.00,0.76
Cistothorus platensis,12.00,15.90,0.75
Contopus cooperi,34.20,33.00,1.04
Contopus virens,14.00,24.50,0.57
Setophaga caerulescens,10.40,19.50,0.53
Setophaga castanea,12.50,23.00,0.54
Setophaga cerulea,9.00,20.00,0.45
Setophaga coronata,12.50,21.50,0.58
Setophaga fusca,10.50,21.00,0.50
Setophaga magnolia,9.60,18.00,0.53
Setophaga palmarum,11.35,20.50,0.55
Setophaga pensylvanica,10.55,18.50,0.57
Setophaga petechia,9.50,19.00,0.50
Setophaga pinus,12.00,22.20,0.54
Setophaga striata,13.50,22.50,0.60
Setophaga tigrina,13.15,20.50,0.64
Setophaga virens,9.90,18.50,0.54
Dumetella carolinensis,37.50,26.00,1.44
Empidonax flaviventris,12.75,19.00,0.67
Empidonax minimus,10.30,20.50,0.50
Empidonax traillii,13.50,22.00,0.61
Empidonax virescens,12.50,22.50,0.56
Geothlypis philadelphia,12.00,18.00,0.67
Oporornis agilis,15.00,22.50,0.67
Geothlypis formosa,13.50,21.00,0.64
Geothlypis trichas,8.50,17.00,0.50
Hylocichla mustelina,60.00,35.00,1.71
Icteria virens,27.00,25.00,1.08
Icterus galbula,33.80,27.50,1.23
Icterus spurius,17.00,25.00,0.68
Junco hyemalis,24.00,21.50,1.12
Lanius excubitor,65.00,32.50,2.00
Mniotilta varia,11.50,20.00,0.58
Myiarchus crinitus,33.50,34.00,0.99
Setophaga americana,8.00,17.00,0.47
Passerina caerulea,28.75,27.50,1.05
Passerina cyanea,14.50,20.50,0.71
Pheucticus ludovicianus,50.00,31.00,1.61
Pipilo erythrophthalmus,40.00,25.00,1.60
Piranga olivacea,35.00,27.50,1.27
Piranga rubra,29.00,29.00,1.00
Polioptila caerulea,6.00,16.00,0.38
Pooecetes gramineus,24.00,24.00,1.00
Protonotaria citrea,12.50,22.00,0.57
Regulus calendula,7.50,17.00,0.44
Regulus satrapa,5.90,16.00,0.37
Sayornis phoebe,18.50,27.00,0.69
Seiurus aurocapilla,19.00,22.50,0.84
Parkesia motacilla,22.70,23.20,0.98
Parkesia noveboracensis,19.00,22.50,0.84
Setophaga ruticilla,8.00,19.50,0.41
Sitta canadensis,9.90,22.00,0.45
Spizelloides arborea,20.50,24.00,0.85
Spizella pallida,12.00,19.00,0.63
Spizella passerina,14.00,21.00,0.67
Spizella pusilla,12.50,20.00,0.63
Sturnella magna,113.00,37.50,3.01
Toxostoma rufum,68.00,31.00,2.19
Troglodytes aedon,10.50,15.50,0.68
Troglodytes hiemalis,9.90,14.00,0.71
Tyrannus tyrannus,44.00,35.50,1.24
Oreothlypis celata,9.00,18.40,0.49
Vermivora chrysoptera,9.00,20.00,0.45
Oreothlypis peregrina,10.00,19.69,0.51
Vermivora cyanoptera,8.50,15.00,0.57
Oreothlypis ruficapilla,9.95,18.50,0.54
Vireo flavifrons,18.00,23.00,0.78
Vireo gilvus,13.00,22.00,0.59
Vireo olivaceus,19.00,24.00,0.79
Vireo philadelphicus,12.00,20.00,0.60
Vireo solitarius,16.00,22.00,0.73
Cardellina canadensis,11.00,19.50,0.56
Setophaga citrina,10.50,17.50,0.60
Cardellina pusilla,7.50,15.50,0.48
Zonotrichia albicollis,26.00,23.00,1.13
Melospiza georgiana,19.00,18.50,1.03
Passerella iliaca,35.00,27.85,1.26
Zonotrichia leucophrys,26.50,22.50,1.18
Melospiza lincolnii,18.00,20.50,0.88
Melospiza melodia,32.00,21.70,1.47
Zonotrichia querula,37.50,27.00,1.39
