"Species_Name","Avg_Body_Mass_g","Avg_Wingspan_cm","Wind_Load","collision_freq"
"Ammodramus henslowii",12.5,18,0.69,9
"Ammodramus leconteii",14,18,0.78,25
"Ammodramus nelsoni",19,18.25,1.04,55
"Ammodramus savannarum",17,17.5,0.97,106
"Cardellina canadensis",11,19.5,0.56,241
"Cardellina pusilla",7.5,15.5,0.48,185
"Catharus fuscescens",32.5,28.5,1.14,727
"Catharus guttatus",27.5,27.5,1,3729
"Catharus minimus",28,33,0.85,822
"Catharus ustulatus",34,30,1.13,2331
"Certhia americana",7.1,18.5,0.38,2676
"Cistothorus palustris",11.35,15,0.76,91
"Cistothorus platensis",12,15.9,0.75,60
"Contopus cooperi",34.2,33,1.04,4
"Contopus virens",14,24.5,0.57,70
"Dumetella carolinensis",37.5,26,1.44,599
"Empidonax flaviventris",12.75,19,0.67,68
"Empidonax minimus",10.3,20.5,0.5,96
"Empidonax traillii",13.5,22,0.61,177
"Empidonax virescens",12.5,22.5,0.56,7
"Geothlypis formosa",13.5,21,0.64,16
"Geothlypis philadelphia",12,18,0.67,430
"Geothlypis trichas",8.5,17,0.5,1555
"Hylocichla mustelina",60,35,1.71,500
"Icteria virens",27,25,1.08,15
"Icterus galbula",33.8,27.5,1.23,83
"Icterus spurius",17,25,0.68,6
"Junco hyemalis",24,21.5,1.12,6303
"Lanius excubitor",65,32.5,2,1
"Melospiza georgiana",19,18.5,1.03,4910
"Melospiza lincolnii",18,20.5,0.88,2029
"Melospiza melodia",32,21.7,1.47,5124
"Mniotilta varia",11.5,20,0.58,620
"Myiarchus crinitus",33.5,34,0.99,28
"Oporornis agilis",15,22.5,0.67,365
"Oreothlypis celata",9,18.4,0.49,227
"Oreothlypis peregrina",10,19.69,0.51,2515
"Oreothlypis ruficapilla",9.95,18.5,0.54,1690
"Parkesia motacilla",22.7,23.2,0.98,15
"Parkesia noveboracensis",19,22.5,0.84,916
"Passerculus sandwichensis",22,21.5,1.02,274
"Passerella iliaca",35,27.85,1.26,2443
"Passerina caerulea",28.75,27.5,1.05,1
"Passerina cyanea",14.5,20.5,0.71,725
"Pheucticus ludovicianus",50,31,1.61,397
"Pipilo erythrophthalmus",40,25,1.6,82
"Piranga olivacea",35,27.5,1.27,127
"Piranga rubra",29,29,1,9
"Polioptila caerulea",6,16,0.38,6
"Pooecetes gramineus",24,24,1,10
"Protonotaria citrea",12.5,22,0.57,6
"Regulus calendula",7.5,17,0.44,416
"Regulus satrapa",5.9,16,0.37,1029
"Sayornis phoebe",18.5,27,0.69,24
"Seiurus aurocapilla",19,22.5,0.84,4580
"Setophaga americana",8,17,0.47,59
"Setophaga caerulescens",10.4,19.5,0.53,183
"Setophaga castanea",12.5,23,0.54,287
"Setophaga cerulea",9,20,0.45,3
"Setophaga citrina",10.5,17.5,0.6,5
"Setophaga coronata",12.5,21.5,0.58,887
"Setophaga fusca",10.5,21,0.5,201
"Setophaga magnolia",9.6,18,0.53,1224
"Setophaga palmarum",11.35,20.5,0.55,694
"Setophaga pensylvanica",10.55,18.5,0.57,303
"Setophaga petechia",9.5,19,0.5,77
"Setophaga pinus",12,22.2,0.54,49
"Setophaga ruticilla",8,19.5,0.41,868
"Setophaga striata",13.5,22.5,0.6,787
"Setophaga tigrina",13.15,20.5,0.64,182
"Setophaga virens",9.9,18.5,0.54,223
"Sitta canadensis",9.9,22,0.45,260
"Spizella pallida",12,19,0.63,50
"Spizella passerina",14,21,0.67,68
"Spizella pusilla",12.5,20,0.63,325
"Spizelloides arborea",20.5,24,0.85,1262
"Sturnella magna",113,37.5,3.01,13
"Toxostoma rufum",68,31,2.19,166
"Troglodytes aedon",10.5,15.5,0.68,104
"Troglodytes hiemalis",9.9,14,0.71,474
"Tyrannus tyrannus",44,35.5,1.24,4
"Vermivora chrysoptera",9,20,0.45,53
"Vermivora cyanoptera",8.5,15,0.57,16
"Vireo flavifrons",18,23,0.78,12
"Vireo gilvus",13,22,0.59,2
"Vireo olivaceus",19,24,0.79,133
"Vireo philadelphicus",12,20,0.6,12
"Vireo solitarius",16,22,0.73,18
"Zonotrichia albicollis",26,23,1.13,10133
"Zonotrichia leucophrys",26.5,22.5,1.18,1090
"Zonotrichia querula",37.5,27,1.39,2
